"","business_id","Score","name","longitude","latitude"
"104",625,96,"CALIFORNIA TENNIS CLUB",-122.437657,37.786463
"105",627,93,"EDDIES CAFE",-122.438098,37.776898
"106",628,92,"EL BURRITO EXPRESS #2",-122.440057,37.786407
"107",634,77,"KING LEE'S RESTAURANT",-122.432504,37.782632
"108",642,100,"ANDERSEN BAKERY",-122.430317,37.785457
"109",645,100,"TAN-TAN",-122.431918,37.785274
"110",659,92,"Golden Coffee",-122.415218,37.788322
"111",665,86,"BRAZEN HEAD RESTAURANT",-122.432517,37.799218
"112",691,92,"MARINA SUBMARINE",-122.436847,37.796893
"113",696,92,"New York New York Pizza Kitchen",-122.409647,37.784303
"114",727,92,"FOOD INC.",-122.440705,37.788068
"115",729,92,"ASHOKA Indian Cuisine",-122.437024,37.800758
"116",741,83,"MOZZARELLA DI BUFALA PIZZERIA II",-122.466544,37.740052
"117",744,100,"Cafe Bellini",-122.407563,37.784317
"118",758,100,"BAKERY/ICE CREAM/STOREROOM",-122.401543,37.788286
"119",760,94,"Tart To Tart",-122.40071,37.787598
"120",773,91,"MARIPOSA HUNTERS POINT YACHT CLUB",-122.387222,37.77325
"121",774,92,"BAY VIEW BOAT CLUB",-122.387032,37.772667
"122",786,94,"Piperade",-122.401484,37.800674
"123",790,86,"Paul Mart",-122.402341,37.804211
"124",795,96,"Ben & Jerry's",-122.412,37.808494
"125",798,90,"Sushi Rapture",-122.416267,37.793997
"126",799,100,"Courtyard by Marriott at Fisherman's Wharf",-122.41862,37.806964
"127",816,87,"B & J QUARTER POUNDER BURGERS",-122.395841,37.722374
"128",824,92,"BABY'S EATERY AND PALABOK",-122.434879,37.724579
"129",826,100,"ANGELINA'S DELI-CAFE & CATERING",-122.481982,37.784038
"130",827,98,"TAQUERIA EL FAROLITO NO. 2",-122.437385,37.721251
"131",835,86,"Kam Po Kitchen",-122.410513,37.797223
"132",856,96,"DELFINA RESTAURANT",-122.424318,37.761514
"133",873,100,"The Coffee Roaster, Inc.",-122.398319,37.79739
"134",876,92,"PATPONG THAI CUISINE, INC.",-122.48522,37.781973
"135",880,73,"Delicious Dim Sum",-122.407574,37.795974
"136",884,87,"House of Nanking",-122.405224,37.796463
"137",886,100,"Le Petit Cafe",-122.39914,37.795227
"138",891,82,"Lucky Creation Vegetarian Restaurant LLC",-122.407433,37.795078
"139",892,100,"Happy Donuts",-122.399834,37.791348
"140",902,96,"MARCELLO'S PIZZA",-122.435145,37.762057
"141",905,94,"Working Girls' Cafe'",-122.404033,37.790477
"142",911,92,"Cafe Dolci",-122.404148,37.787153
"143",917,96,"Town & Country Club",-122.406607,37.787927
"144",920,100,"Ritz-Carlton SF - Club Lounge",-122.407377,37.791757
"145",921,100,"Ritz-Carlton SF - Pantry Prep Room and Lobby Bar",-122.407377,37.791757
"146",929,92,"Cafe Ethiopia",-122.421359,37.758832
"147",943,85,"EL CASTILLITO TAQUERIA INC.",-122.429095,37.768776
"148",949,96,"BUFFALO BURGERS RESTAURANT",-122.476354,37.780372
"149",950,92,"IRVING PIZZA",-122.47764,37.763513
"150",951,92,"KENTUCKY FRIED CHICKEN #50",-122.478362,37.763528
"151",961,90,"JAVA BEACH CAFE",-122.509106,37.760416
"152",968,82,"GOLDEN ISLAND CAFE",-122.477822,37.754188
"153",977,94,"Bay Pastry, The",-122.477211,37.742998
"154",983,90,"HONG'S SZECHUAN RESTAURANT",-122.499002,37.742048
"155",984,91,"VANIDA THAI KITCHEN",-122.498738,37.742086
"156",993,96,"CHICK-N-DELI",-122.443681,37.713702
"157",999,92,"SERRANO'S PIZZA II",-122.420534,37.756997
"158",1003,98,"RINCON PERUANO RESTAURANT",-122.417402,37.749128
"159",1008,98,"VALENCIA PIZZA & PASTA",-122.421356,37.759944
"160",1018,100,"PETES BARBEQUE",-122.418975,37.758684
"161",1026,88,"PHUKET THAI RESTAURANT",-122.436976,37.771117
"162",1031,93,"IL BORGO",-122.426264,37.775538
"163",1043,96,"CENTRAL COFFEE TEA & SPICE",-122.444214,37.774198
"164",1047,80,"PORK STORE CAFE",-122.446247,37.770063
"165",1048,85,"CREPE EXPRESS",-122.446644,37.770068
"166",1060,96,"BEAN THERE COFFEE & TEA",-122.431953,37.771123
"167",1075,94,"SANDWICH PLACE, THE",-122.419566,37.764384
"168",1081,86,"ARINELL PIZZA",-122.421803,37.764744
"169",1085,89,"STARBUCKS COFFEE #9219",-122.397852,37.792037
"170",1102,92,"HOANG DAT COFFEE SHOP",-122.418644,37.786068
"171",1111,94,"SUBWAY 16604",-122.419357,37.783713
"172",1116,94,"STARBUCKS COFFEE #509",-122.430336,37.797713
"173",1122,98,"STARBUCKS COFFEE #531",-122.438494,37.800547
"174",1124,90,"SQUAT & GOBBLE CAFE #3",-122.433392,37.764248
"175",1125,94,"Peet's Coffee & Tea, Inc",-122.399565,37.791554
"176",1135,90,"Geary Drive In",-122.444744,37.782778
"177",1147,98,"UA Twin Stonestown",-122.478441,37.730105
"178",1154,93,"SUNFLOWER RESTAURANT",-122.421905,37.764678
"179",1156,93,"Boudin Petit Cafe",-122.407313,37.786548
"180",1157,94,"Sutter Cafe",-122.405894,37.789625
"181",1159,87,"Zona Rosa",-122.451667,37.769363
"182",1186,88,"TULLY'S  COFFEE",-122.434535,37.792071
"183",1188,100,"OKINA SUSHI",-122.458445,37.775723
"184",1190,86,"MUGUBOKA",-122.462975,37.777206
"185",1193,98,"PEET'S COFFEES & TEAS",-122.450476,37.786754
"186",1194,98,"SWEET THINGS",-122.452807,37.786453
"187",1199,98,"PANCHO'S",-122.456176,37.781507
"188",1203,98,"TAWAN'S THAI FOOD",-122.46659,37.780834
"189",1231,94,"Yamo Restaurant",-122.419599,37.761882
"190",1232,96,"Sunflower Cafe",-122.409371,37.786316
"191",1241,88,"Banwich",-122.477898,37.742895
"192",1243,91,"JAVA SUPREME",-122.423553,37.759934
"193",1259,92,"KD'S GROG & GROCERY",-122.435384,37.762602
"194",1261,91,"REVERIE COFFEE CAFE",-122.449997,37.766097
"195",1262,88,"NORTH BEACH PIZZA",-122.453075,37.767286
"196",1263,96,"LAVA JAVA",-122.452974,37.766812
"197",1266,96,"Jamba Juice",-122.466246,37.763989
"198",1269,100,"STARBUCKS",-122.392051,37.790944
"199",1273,96,"JAY'S CHEESESTEAK #2",-122.437775,37.774734
"200",1280,100,"AMASIA HIDE'S SUSHI BAR",-122.433306,37.766774
"201",1282,92,"MAXFIELDS",-122.426345,37.763168
"202",1287,82,"Chilango",-122.428819,37.76695
"203",1296,100,"TAQUERIA EL BUEN SABOR",-122.421492,37.761743
"204",1300,98,"WE BE SUSHI",-122.420986,37.755824
"205",1318,92,"GORDO TAQUERIA #6",-122.477804,37.780517
"206",1332,81,"CHLOE'S",-122.427116,37.748594
"207",1337,80,"SAN MIGUEL RESTAURANT #2",-122.420395,37.744726
"208",1339,96,"HIGHER GROUNDS",-122.43368,37.734483
"209",1341,90,"SPIKE'S COFFEES & TEAS",-122.43503,37.759253
"210",1344,90,"Beanery",-122.48591,37.758941
"211",1347,78,"CREPES ON COLE",-122.450184,37.765778
"212",1350,92,"KING OF THAI NOODLE HOUSE",-122.46615,37.782833
"213",1351,96,"EXIT THEATRE",-122.410224,37.784288
"214",1352,79,"LA TORTILLA",-122.434935,37.760954
"215",1354,96,"SUSHI TIME",-122.432322,37.764697
"216",1359,100,"STARBUCKS COFFEE CO.",-122.439957,37.785907
"217",1366,87,"CAFE LA TAZA",-122.41888,37.757436
"218",1368,98,"Starbucks Coffee",-122.400925,37.797754
"219",1389,92,"GASPARE'S PIZZA HOUSE & REST.",-122.478832,37.78047
"220",1391,94,"JAMBA JUICE",-122.409002,37.765708
"221",1395,80,"WHAT A GRIND",-122.416276,37.787239
"222",1398,84,"YUMMA'S MED GRILL",-122.465539,37.764053
"223",1399,100,"La Copa Loca",-122.417982,37.755538
"224",1401,100,"Coffee Cabin",-122.417005,37.788943
"225",1409,100,"STARBUCKS COFFEE #5431",-122.394573,37.792137
"226",1413,100,"STARBUCKS",-122.477825,37.780305
"227",1426,90,"SWEET DELIGHT BAKERY",-122.433817,37.726117
"228",1434,94,"HOLEY BAGEL BAKERY",-122.429122,37.751628
"229",1438,94,"CABLE CAR COFFEE CO",-122.408568,37.783658
"230",1442,90,"Waterfront Bakery",-122.419004,37.807155
"231",1444,92,"Starbucks Coffee",-122.422167,37.790086
"232",1452,88,"CAFE V",-122.414372,37.771538
"233",1466,100,"Whole Foods Steep Brew",-122.423437,37.790193
"234",1469,100,"Holiday Inn Express-Main Kitchen",-122.416244,37.806288
"235",1482,96,"A2 CAFE",-122.399039,37.767224
"236",1487,92,"PEET'S COFFEE & TEA",-122.399522,37.787834
"237",1490,94,"ZEKE'S DIAMOND BAR",-122.394169,37.779957
"238",1491,90,"LIVERPOOL LIL'S",-122.447236,37.798147
"239",1496,89,"FOUR SEASONS HOTEL- EMPLOYEE  CAFETERIA",-122.404852,37.786476
"240",1505,96,"Starbucks Coffee Company #6765",-122.405544,37.790376
"241",1515,98,"AT&T - Cognac Bar/ KITCHEN Room3232 [145080]",-122.391151,37.778382
"242",1516,91,"AT&T - FIELD CLUB KITCHEN [145082]",-122.391151,37.778382
"243",1517,93,"AT&T -in-seat service KITCHEN/Press Dining [145081]",-122.391151,37.778382
"244",1520,100,"STARBUCKS #5852",-122.395192,37.789314
"245",1529,94,"STARBUCKS",-122.396139,37.778694
"246",1532,94,"Neiman Marcus On The Square",-122.408452,37.791586
"247",1534,96,"Cafe Niebaum Coppola",-122.405167,37.796517
"248",1544,100,"OMNI S.F. Hotel - Food & Beverage Storeroom",-122.403135,37.792888
"249",1549,100,"Cafe Bellini",-122.408174,37.786974
"250",1554,86,"KADOK'S",-122.437475,37.721291
"251",1555,100,"Fino",-122.41176,37.788094
"252",1564,100,"Cornell Hotel - Jeanne D'Arc",-122.409117,37.790103
"253",1566,86,"Asia Chinese Food #2",-122.412804,37.805758
"254",1571,80,"SF Bay Club - Court Cafe",-122.402534,37.803208
"255",1585,94,"KENTUCKY FRIED CHICKEN",-122.436307,37.799793
"256",1594,86,"Young's Restaurant",-122.404653,37.793702
"257",1595,92,"Zazie",-122.449914,37.765343
"258",1598,100,"Cafe Bean",-122.413795,37.788587
"259",1607,96,"LE ZINC",-122.433249,37.751323
"260",1608,90,"CLADDAGH COFFEE",-122.440048,37.715997
"261",1613,98,"BRICK HOUSE CAFE",-122.395099,37.779534
"262",1614,100,"STARBUCKS COFFEE #5646",-122.398872,37.791227
"263",1615,96,"Starbucks Coffee",-122.396524,37.794184
"264",1617,90,"CLEMENT BBQ RESTAURANT",-122.4659,37.782843
"265",1619,100,"BENDERS BAR & GRILL",-122.417123,37.76031
"266",1623,98,"Bistro Burger",-122.403168,37.790844
"267",1626,94,"LUPA TRATTORIA",-122.434529,37.751243
"268",1632,98,"SWEET CHINITO",-122.418241,37.748164
"269",1635,94,"KEZAR PUB",-122.453227,37.767828
"270",1636,96,"AXUM",-122.433583,37.771738
"271",1641,98,"MARTHA & BROS. COFFEE CO",-122.426856,37.745974
"272",1649,100,"COURTYARD BY MARRIOTT-RESTAURANT",-122.396693,37.785614
"273",1652,96,"STARBUCKS",-122.400432,37.785037
"274",1664,100,"PANDA EXPRESS",-122.407563,37.784317
"275",1668,98,"SILVER CREST DONUT SHOP",-122.405766,37.742456
"276",1672,94,"WORKING GIRLS' CAFE III",-122.393809,37.792308
"277",1673,100,"RUBIN'S",-122.393992,37.792577
"278",1674,100," NORDSTROM CAFE BISTRO",-122.407563,37.784317
"279",1685,94,"New Lun Ting Cafe, Inc",-122.406275,37.796098
"280",1692,98,"Plouf",-122.403757,37.791318
"281",1699,100,"TWI LIGHT CAFE",-122.455034,37.775698
"282",1703,94,"Lanna Restaurant",-122.477279,37.754153
"283",1712,94,"SEA BREEZE CAFE",-122.504572,37.760508
"284",1726,100,"KFC/TACO BELL",-122.431008,37.728979
"285",1727,86,"Sun Rise Restaurant",-122.414681,37.752508
"286",1734,86,"SAI JAI THAI",-122.417409,37.785182
"287",1741,84,"Osha Thai Noodle Cafe",-122.414583,37.786598
"288",1742,86,"McAllister Grocery & Deli",-122.414312,37.780916
"289",1753,88,"RED BALLOON",-122.418505,37.752923
"290",1757,73,"Dar Bar Pakistani/Indian Cusine",-122.420455,37.789784
"291",1765,96,"MCDONALD'S",-122.39298,37.728048
"292",1768,92,"Subway Sandwiches",-122.419737,37.787783
"293",1778,94,"PIZZA INFERNO",-122.430283,37.786498
"294",1788,87,"EXECUTIVE CAFE",-122.393371,37.711323
"295",1791,94,"GARDEN HOUSE CAFE",-122.492544,37.781597
"296",1792,98,"ATLAS CAFE",-122.411418,37.759073
"297",1800,92,"BRAVO PIZZA",-122.440834,37.716583
"298",1810,94,"TAL-Y-TARA TEA & POLO SHOPPE",-122.486779,37.783773
"299",1811,96,"MOONLIGHT CAFE",-122.415293,37.738923
"300",1814,100,"MARRIOTT - 4TH ST BAR & DELI",-122.404752,37.784964
"301",1823,90,"DAVE'S",-122.402994,37.78713
"302",1829,90,"Nob Hill Cafe",-122.412746,37.793238
"303",1831,100,"B44",-122.403748,37.791278
"304",1844,90,"Basque Hotel",-122.406324,37.798244
"305",1852,88,"Pat's Cafe",-122.414927,37.803947
"306",1854,86,"Cafe Venue",-122.402262,37.791148
"307",1865,96,"Latte Express #3",-122.416434,37.807244
"308",1866,90,"Starbucks Coffee Company",-122.401194,37.793693
"309",1882,100,"Sorabol-Stonestown Galleria",-122.475639,37.728497
"310",1884,94,"HOT DOG ON A STICK",-122.475639,37.728497
"311",1898,100,"Bill's Place",-122.484159,37.782023
"312",1906,92,"Alex Bakery",-122.46395,37.782944
"313",1916,98,"RESTAURANT MINAMI",-122.479553,37.782294
"314",1922,92,"Allstar Donuts",-122.468969,37.782694
"315",1926,92,"LINCOLN PARK BAR AND GRILL",-122.496324,37.782971
"316",1927,96,"STARBUCKS COFFEE",-122.446227,37.775793
"317",1931,86,"YUMMY YUMMY VIETNAMESE RESTAURANT",-122.468809,37.763913
"318",1932,100,"Five Happiness",-122.463931,37.781138
"319",1936,94,"JITRA THAI CUISINE",-122.472953,37.731515
"320",1939,96,"STARBUCKS COFFEE CO. #603",-122.400998,37.787838
"321",1949,77,"PLUTO'S",-122.46471,37.764083
"322",1950,80,"BULLSHEAD RESTAURANT",-122.465507,37.740785
"323",1954,91,"T C PASTRY",-122.481892,37.763388
"324",1959,77,"EBISU RESTAURANT",-122.48591,37.758941
"325",1960,77,"PARADISE PIZZA",-122.470437,37.73671
"326",1963,90,"Spiazzo",-122.466108,37.740456
"327",1970,90,"MICADO  RESTAURANT",-122.480646,37.763468
"328",1972,96,"KENTUCKY FRIED CHICKEN",-122.464072,37.781128
"329",1973,92,"MY FAVORITE CAFE",-122.481942,37.782169
"330",1978,79,"GOLDEN CHARIOT BAKERY & REST",-122.494382,37.775878
"331",1983,98,"Four Star Theatre - Snack Bar",-122.482911,37.782128
"332",1989,98,"PRESIDIO GOLF CLUB",-122.460845,37.788807
"333",1991,92,"SRI THAI CUISINE",-122.507779,37.764073
"334",1994,96,"EL POLLO SUPREMO",-122.441846,37.715469
"335",2002,100,"PANDA EXPRESS",-122.475639,37.728497
"336",2007,96,"Bocadillos",-122.403277,37.795893
"337",2012,91,"CHEESE STEAK SHOP, THE",-122.439887,37.785537
"338",2017,94,"THE GROVE FILLMORE",-122.433637,37.788147
"339",2020,92,"MONROE RESIDENCE CLUB",-122.423703,37.791178
"340",2032,90,"QUEEN ANNE HOTEL",-122.426464,37.786988
"341",2035,91,"ISUMIYA",-122.431472,37.785227
"342",2039,96,"VIA VENETO",-122.434097,37.790437
"343",2043,92,"Ah Lin Restaurant",-122.424184,37.788228
"344",2047,96,"Chestnut Diner",-122.425093,37.802247
"345",2050,87,"Hyde Street Seafood House & Raw Bar, Inc",-122.418184,37.794753
"346",2054,92,"Zarzuela",-122.419047,37.799368
"347",2055,89,"Sun Kwong Restaurant",-122.418334,37.794558
"348",2057,90,"Amarena",-122.420353,37.797713
"349",2060,88,"CAFE LOMBARD",-122.425154,37.801268
"350",2061,96,"ATAMI SUSHI BAR & GRILL",-122.428894,37.800788
"351",2063,86,"ZUSHI-PUZZLE",-122.433053,37.800248
"352",2070,92,"Street Restaurant",-122.421911,37.796327
"353",2076,87,"Lemongrass Thai Noodle",-122.422246,37.798497
"354",2077,100,"Peet's Coffee & Tea",-122.421909,37.796316
"355",2085,84,"KENTUCKY FRIED CHICKEN #249",-122.418988,37.783053
"356",2094,87,"CARL'S JUNIOR",-122.408568,37.783658
"357",2104,80,"Olympic Flame Cafe",-122.412467,37.786803
"358",2107,92,"Kim Thanh Restaurant",-122.413274,37.786683
"359",2110,86,"A La Turca",-122.417617,37.786143
"360",2117,98,"Sakana",-122.411772,37.787798
"361",2124,96,"RUTH'S CHRIS STEAK HOUSE",-122.423034,37.790298
"362",2132,96,"B & M MEI SING RESTAURANT",-122.400466,37.788453
"363",2135,92,"HOWARD STREET COFFEE ROASTERY CAFE",-122.393159,37.790863
"364",2138,92,"BOUDIN BAKERY",-122.401701,37.788924
"365",2144,94,"SHERA.-PAL.HOTEL MAXFIELD'S GRILL",-122.401543,37.788286
"366",2145,87,"FRINGALE",-122.397009,37.778657
"367",2155,94,"DOMINO'S PIZZA",-122.405544,37.742738
"368",2172,92,"Mamas on Washington Square",-122.409434,37.801554
"369",2173,76,"YERBA BUENA MARKET",-122.406761,37.774722
"370",2193,90,"New City Bakery",-122.40476,37.730463
"371",2201,74,"Wali Bakery and Cafe",-122.408603,37.797285
"372",2206,88,"LES CROISSANT CAFE",-122.433775,37.784488
"373",2218,100,"Starbucks Coffee Co",-122.398284,37.79703
"374",2219,96,"Chung King Restaurant",-122.40529,37.796259
"375",2228,96,"Tokyo Express",-122.403984,37.793698
"376",2243,94,"Cafe Claude",-122.404302,37.789857
"377",2245,98,"Starbucks Coffee Co",-122.403896,37.790498
"378",2249,90,"Ramzi's Cafe",-122.401999,37.789552
"379",2252,92,"Niji Japanese Grille",-122.402861,37.789064
"380",2265,94,"H Cafe",-122.43074,37.762705
"381",2266,88,"ALI BABA'S CAVE RESTAURANT",-122.421334,37.760164
"382",2268,100,"Tin Fish at Eagle Cafe",-122.410189,37.80824
"383",2282,98,"PACIFIC CAFE",-122.494562,37.779668
"384",2293,100,"GOLD MIRROR ITALIAN RESTAURANT",-122.474802,37.743118
"385",2299,98,"STARBUCKS COFFEE",-122.422099,37.788476
"386",2305,96,"TIA MARGARITA INC",-122.478425,37.782124
"387",2309,86,"BURGER KING",-122.437135,37.72169
"388",2313,100,"HOT DOG BILLS #2 (Driving Range)",-122.497934,37.708887
"389",2317,94,"BURGER JOINT",-122.421356,37.759933
"390",2318,96,"Garcon",-122.420898,37.755291
"391",2334,81,"LA PAZ RESTAURANT",-122.40665,37.755693
"392",2335,96,"Velvet Cantina",-122.419479,37.753743
"393",2337,89,"EL TACO LOCO INC.",-122.417881,37.752308
"394",2343,98,"GRAND MISSION DONUT & BAKERY",-122.419308,37.761929
"395",2346,92,"LAWRENCE BAKERY CAFE",-122.419275,37.760477
"396",2347,91,"LAS TINAJAS",-122.419185,37.759567
"397",2352,94,"SMILE'S  B.B.Q.",-122.418665,37.755013
